ServiceDateTime,Routes,RouteName,EarlyDeparture,OnTime,LateArrival,Missing,TimePointCount,OTP,AverageDwellTime,
4/6/2017,,,,314,366,,125,85.53,184.62,
4/7/2017,,,,292,285,,119,88.46,225.16,
4/8/2017,,,,403,434,,209,87.36,85.68,
4/9/2017,,,,269,277,,197,31.84,218.28,
4/10/2017,,,,394,418,,94,69.51,164.7,
4/11/2017,,,,450,296,,91,64.78,126.4,
4/12/2017,,,,377,241,,865,79.4,225.0,
4/13/2017,,,,234,357,,666,68.68,106.32,
4/14/2017,,,,157,541,,705,54.28,117.46,
4/15/2017,,,,612,287,,168,76.47,86.87,
4/16/2017,,,,508,187,,338,87.87,192.63,
4/17/2017,,,,146,214,,650,75.14,126.94,
4/18/2017,,,,413,240,,680,78.18,76.71,
4/19/2017,,,,1107,374,,384,62.87,187.38,
4/20/2017,,,,202,268,,453,88.6,110.7,
4/21/2017,,,,285,501,,393,83.61,99.75,
4/22/2017,,,,1046,209,,566,85.58,166.21,
4/23/2017,,,,337,356,,326,65.46,25.12,
4/24/2017,,,,637,337,,527,76.19,189.16,
4/25/2017,,,,462,384,,314,76.26,221.83,
4/26/2017,,,,528,190,,466,69.06,266.86,
4/27/2017,,,,139,424,,678,81.33,180.45,
4/28/2017,,,,192,265,,633,91.0,266.92,
4/29/2017,,,,92,490,,629,86.1,224.67,
4/30/2017,,,,210,373,,556,69.11,98.03,
5/1/2017,,,,71,262,,214,77.88,143.94,
5/2/2017,,,,147,300,,381,78.14,105.83,
5/3/2017,,,,696,687,,554,79.9,112.0,
5/4/2017,,,,577,460,,497,44.44,130.46,
5/5/2017,,,,396,249,,423,72.12,88.14,
5/6/2017,,,,48,569,,283,75.37,143.55,
5/7/2017,,,,277,422,,204,73.88,204.01,
5/8/2017,,,,256,258,,452,69.07,171.75,
5/9/2017,,,,540,437,,521,77.1,92.14,
5/10/2017,,,,583,438,,1437,87.69,197.71,
,,,,306,363,,267,90.61,99.29,
,,,,326,254,,1374,71.94,143.21,
,,,,308,548,,774,74.67,159.23,
,,,,426,340,,183,94.87,156.68,
,,,,416,324,,222,81.5,176.51,
,,,,441,365,,102,80.65,232.89,
,,,,282,392,,134,84.55,191.06,
,,,,13,290,,254,80.11,148.92,
,,,,634,333,,165,92.13,293.25,
,,,,480,253,,121,64.51,169.71,
,,,,500,480,,424,79.28,202.21,
,,,,429,257,,228,71.69,168.01,
,,,,221,544,,159,83.04,102.58,
,,,,313,317,,842,83.62,178.07,
,,,,1069,270,,667,88.1,136.2,
,,,,368,345,,69,85.19,121.66,
,,,,670,247,,653,90.1,80.55,
,,,,541,299,,395,91.4,209.26,
,,,,498,320,,502,85.13,230.56,
