ServiceDate,Routes,RouteName,CurrentRevenue,Ridership,TokenCount,TicketCount,PassCount,BillCount,UnclassifiedRevenue,DumpCount,
3/24/2017,,,400.25,575,,,293,422,58.9,221,
3/25/2017,,,219.38,681,,,858,393,86.69,335,
3/26/2017,,,310.88,600,,,660,23,19.62,255,
3/27/2017,,,411.54,498,,,929,394,23.2,220,
3/28/2017,,,2020.63,406,,,365,227,9.21,378,
3/29/2017,,,305.01,340,,,36,762,1.8,538,
3/30/2017,,,1073.91,302,,,333,201,10.0,103,
3/31/2017,,,690.2,744,,,460,146,4.06,277,
4/1/2017,,,1215.2,1027,,,977,919,16.57,272,
4/2/2017,,,1189.0,228,,,224,480,6.69,159,
4/3/2017,,,395.42,288,,,1254,357,5.33,466,
4/4/2017,,,333.95,316,,,294,683,6.9,574,
4/5/2017,,,189.41,489,,,466,639,14.26,260,
4/6/2017,,,43.57,1785,,,571,20,7.91,185,
4/7/2017,,,212.74,1316,,,395,113,5.37,224,
4/8/2017,,,103.53,1857,,,605,14,9.13,468,
4/9/2017,,,111.35,742,,,301,661,3.9,249,
4/10/2017,,,252.95,71,,,427,22,12.12,366,
4/11/2017,,,152.05,697,,,132,215,14.21,318,
4/12/2017,,,107.25,911,,,557,247,36.03,162,
4/13/2017,,,317.64,860,,,149,521,3.88,334,
4/14/2017,,,150.37,1930,,,125,305,4.48,562,
4/15/2017,,,279.44,129,,,288,311,10.95,286,
4/16/2017,,,246.89,398,,,155,295,2.97,195,
4/17/2017,,,147.46,2340,,,738,214,7.85,375,
4/18/2017,,,178.83,896,,,896,270,5.56,415,
4/19/2017,,,140.93,578,,,153,10,36.02,385,
4/20/2017,,,143.51,1055,,,489,280,18.09,637,
4/21/2017,,,296.79,1112,,,614,443,28.46,306,
4/22/2017,,,488.03,904,,,310,439,17.11,310,
4/23/2017,,,87.9,1270,,,193,421,1.1,384,
4/24/2017,,,77.94,872,,,403,208,13.98,166,
4/25/2017,,,139.07,1266,,,782,816,23.24,449,
4/26/2017,,,119.9,659,,,587,55,14.01,615,
4/27/2017,,,199.63,1009,,,2142,202,42.13,349,
4/28/2017,,,225.05,891,,,44,184,2.2,321,
4/29/2017,,,102.67,976,,,430,1088,34.17,257,
4/30/2017,,,633.26,1191,,,163,506,38.07,338,
5/1/2017,,,335.09,161,,,1712,359,13.43,244,
5/2/2017,,,543.36,279,,,1377,660,25.08,417,
5/3/2017,,,262.21,466,,,1446,685,29.36,183,
5/4/2017,,,19.35,617,,,228,139,23.22,411,
5/5/2017,,,293.77,345,,,33,74,9.54,655,
5/6/2017,,,340.96,1628,,,102,692,27.29,251,
5/7/2017,,,255.64,105,,,169,361,19.35,342,
5/8/2017,,,740.86,1998,,,118,245,13.45,354,
5/9/2017,,,188.7,1805,,,81,613,24.3,219,
5/10/2017,,,139.75,348,,,213,95,21.62,604,
,,,695.56,936,,,79,591,5.19,294,
,,,434.96,1163,,,175,323,4.31,459,
,,,158.96,624,,,183,293,4.3,653,
,,,465.93,3,,,119,349,9.4,280,
,,,362.46,808,,,87,392,8.64,241,
,,,345.67,1144,,,307,333,1.92,456,
,,,505.46,3689,,,360,414,23.62,605,
,,,274.98,780,,,67,372,1.3,343,
,,,303.13,169,,,106,200,43.82,327,
,,,452.04,66,,,48,142,26.78,442,
,,,257.78,718,,,580,386,6.31,594,
,,,354.38,405,,,716,774,15.96,278,
,,,416.7,507,,,24,190,24.95,438,
,,,385.97,3784,,,19,1041,27.49,346,
,,,106.23,1341,,,813,151,8.62,371,
,,,514.68,2437,,,221,493,19.92,401,
,,,76.12,2566,,,445,369,4.1,563,
,,,84.64,492,,,393,691,11.78,160,
,,,122.87,503,,,335,644,17.17,422,
,,,596.54,300,,,150,197,26.85,557,
,,,223.9,200,,,381,31,51.48,363,
,,,129.09,190,,,264,63,64.19,412,
,,,466.69,443,,,305,307,5.7,595,
,,,32.15,144,,,110,181,11.48,336,
,,,623.32,375,,,457,91,4.95,254,
,,,557.14,384,,,66,490,6.62,332,
,,,108.57,197,,,247,258,6.16,479,
,,,261.25,216,,,681,322,74.75,571,
,,,418.27,596,,,151,165,6.25,348,
,,,415.9,676,,,327,310,30.44,444,
,,,230.98,125,,,355,302,21.81,674,
,,,215.02,155,,,164,309,41.29,292,
,,,113.75,214,,,504,246,39.68,416,
,,,206.62,267,,,311,635,6.42,353,
,,,479.18,246,,,1693,791,18.45,180,
,,,385.38,127,,,275,348,5.69,328,
,,,935.51,1235,,,120,529,1.23,394,
,,,828.41,837,,,1157,114,6.78,558,
,,,164.4,1407,,,138,106,33.03,320,
,,,267.7,404,,,765,255,4.71,303,
,,,133.77,45,,,785,477,8.54,621,
,,,145.5,450,,,116,662,5.22,263,
,,,187.45,560,,,152,631,3.17,345,
,,,1292.28,1202,,,78,331,6.75,313,
,,,139.62,236,,,122,385,8.73,402,
,,,488.08,1637,,,133,312,8.68,289,
,,,374.56,554,,,53,12,7.28,288,
,,,806.36,504,,,105,459,3.75,279,
,,,916.38,849,,,61,196,5.36,436,
,,,215.72,684,,,101,473,9.46,539,
,,,252.85,344,,,84,510,17.07,300,
,,,121.46,831,,,95,766,11.34,570,
,,,37.91,451,,,74,1161,2.4,407,
,,,59.32,631,,,1610,526,3.96,634,
,,,71.84,574,,,1091,370,1.43,312,
,,,69.42,682,,,1539,28,4.59,451,
,,,162.87,254,,,673,230,4.39,719,
,,,130.89,914,,,70,434,21.89,460,
,,,85.15,413,,,618,224,10.64,368,
,,,167.62,168,,,748,412,31.23,662,
,,,76.15,1101,,,1666,452,14.22,589,
,,,142.66,909,,,617,104,0.48,435,
,,,192.4,317,,,2511,512,15.93,612,
,,,140.47,683,,,706,335,14.82,326,
